Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,startPage,subjectClassifications,subjectTerms,subjects,FindACopy,Database
The Prisoner Of Room 516,"In the beginning, he said, always I thought, how long before I go out? Because when you wake up in the same room every day it's the same thing, 'When I can get out?' It's always depressing.",895684272,Newspapers," Leland, John
John
John Leland
Leland
John Leland", NYTIAO," New York University Downtown Hospital
622110"," Copyright New York Times Company Oct 2, 2011"," 2473515101 , 64624711 , 7818 , NYTIAO , NYT , 824801-20111002", News," Oct 2, 2011",0362-4331, English, English, MB.1," New York, N.Y.","Oct 2, 2011",New York Times,2011,https://search.proquest.com/docview/895684272?accountid=14496,,,, MB.1,," Emergency medical care , Hospitals , Aliens , Stroke , Medicaid , Health services , New York City New York , Fok, Raymond",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=The+Prisoner+Of+Room+516%3A+%5BMetropolitan+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2011-10-02&amp;volume=&amp;issue=&amp;spage=MB.1&amp;au=Leland%2C+John&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
Two Routes To Solving The Jobs Puzzle,"To explain, he points to BYD Auto (the initials stand for Build Your Dream), a Chinese electric car company that was recently scouting for a site for its United States headquarters. [...] a collaboration between the city-owned utility company and government inspection agencies would guarantee that battery chargers were installed in customers' homes within a week.",895684297,Newspapers," Laporte, Nicole
Nicole
Nicole Laporte
Laporte
Nicole Laporte", NYTIAO,," Copyright New York Times Company Oct 2, 2011"," 2473515191 , 64624711 , 7818 , NYTIAO , NYT , 829056-20111002", NEWSPAPER," Oct 2, 2011",0362-4331, English, English, BU.4," New York, N.Y.","Oct 2, 2011",New York Times,2011,https://search.proquest.com/docview/895684297?accountid=14496,,,, BU.4,," Recessions , Factories , Automobile industry , Cities , Los Angeles County California",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Two+Routes+To+Solving+The+Jobs+Puzzle%3A+%5BMoney+and+Business%2FFinancial+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2011-10-02&amp;volume=&amp;issue=&amp;spage=BU.4&amp;au=Laporte%2C+Nicole&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
The (Not So) Roaring '20s,"According to Census mortality statistics, the national homicide rate jumped 40 percent under Prohibition; after it was repealed in 1933, murder rates plummeted. [...] depending on the model, the actual effect of going dry ranges from a 5 percent increase to a 13 percent decrease in state homicide rates, with margins of error of 4 percentage points.\n",895684548,Newspapers," Owens, Emily G
Emily
Emily G Owens
Owens
G
Emily G. Owens", NYTIAO,," Copyright New York Times Company Oct 2, 2011"," 2473515971 , 64624711 , 7818 , NYTIAO , NYT , 844926-20111002", Commentary," Oct 2, 2011",0362-4331, English, English, SR.12," New York, N.Y.","Oct 2, 2011",New York Times,2011,https://search.proquest.com/docview/895684548?accountid=14496,,,, SR.12,," Drug legalization , Prohibition era , Violent crime , Murders & murder attempts",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=The+%28Not+So%29+Roaring+%2720s%3A+%5BOp-Ed%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2011-10-02&amp;volume=&amp;issue=&amp;spage=SR.12&amp;au=Owens%2C+Emily+G&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
Will Christie Get In? A transcript of the weekend's program on FOX News Channel.,,895827406,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous",,," (c) 2011 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 2473831321 , 64613951 , 117310 , WSJO , WSJOWSJO000020111002e7a3003h1", News," Oct 3, 2011",, English, English, n/a," New York, N.Y.","Oct 3, 2011",Wall Street Journal (Online),2011,https://search.proquest.com/docview/895827406?accountid=14496,,,, n/a,,,,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Will+Christie+Get+In%3F+A+transcript+of+the+weekend%27s+program+on+FOX+News+Channel.&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2011-10-03&amp;volume=&amp;issue=&amp;spage=&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
"Protest and performance; Occupy L.A. camps at City Hall, and art parades in streets","Downtown Los Angeles was transformed into a set for political theater over the weekend, with protesters pitching tents in front of City Hall and performance artists dancing on floats meandering through the streets.",895839804,Newspapers," Sewell, Abby
Abby
Abby Sewell
Sewell
Abby Sewell",,, (Copyright (c) 2011 Los Angeles Times)," 2473940941 , 64634281 , 7683 , ANGE , LATM110033652", News," Oct 3, 2011",0458-3035, English, English, AA.1," Los Angeles, Calif.","Oct 3, 2011",Los Angeles Times,2011,https://search.proquest.com/docview/895839804?accountid=14496,,,, AA.1,," Donations , Signs , Demonstrations & protests -- Los Angeles California , Los Angeles California",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=Protest+and+performance%3B+Occupy+L.A.+camps+at+City+Hall%2C+and+art+parades+in+streets&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2011-10-03&amp;volume=&amp;issue=&amp;spage=AA.1&amp;au=Sewell%2C+Abby&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Los Angeles Times
Helpers Win Residency Ruling in Hong Kong,"HONG KONG--A Hong Kong court on Friday opened the door to potentially giving thousands of foreign household workers in the city a chance to apply for permanent residency, a decision likely to fuel further tensions over immigration and could mark a major change in Hong Kong's labor market and social fabric.",895874429,Newspapers," Morrow, Allison
Allison
Allison Morrow
Morrow
Allison Morrow , Steger, Isabella
Isabella
Isabella Steger
Steger
Isabella Steger",,," (c) 2011 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 2474209581 , 64613951 , 117310 , WSJO , WSJOWSJO000020111003e7a3004v2", News," Oct 3, 2011",, English, English, n/a," New York, N.Y.","Oct 3, 2011",Wall Street Journal (Online),2011,https://search.proquest.com/docview/895874429?accountid=14496,,,, n/a,," Immigration policy , Activism , Local elections , Working conditions , Hong Kong",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Helpers+Win+Residency+Ruling+in+Hong+Kong&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2011-10-03&amp;volume=&amp;issue=&amp;spage=&amp;au=Morrow%2C+Allison%3BSteger%2C+Isabella&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
"After Ruling, Hispanics Flee an Alabama Town","Mr. Orr said there were already signs that the law was working, pointing out that the work-release center in Decatur, about 50 miles to the northwest, was not so long ago unable to find jobs for inmates with poultry processors or home manufacturers. Since the law was enacted in June, he said, the center has been placing more and more inmates in these jobs, now more than 150 a day.",896005803,Newspapers," Robertson, Campbell
Campbell
Campbell Robertson
Robertson
Campbell Robertson", NYTIAO,," Copyright New York Times Company Oct 4, 2011"," 2474806951 , 64650841 , 7818 , NYTIAO , NYT , 886572-20111004", News," Oct 4, 2011",0362-4331, English, English, A.1," New York, N.Y.","Oct 4, 2011",New York Times,2011,https://search.proquest.com/docview/896005803?accountid=14496,,,, A.1,," Aliens , Hispanic Americans , Displaced persons , Immigration policy , Racial harassment , Civil rights , Albertville Alabama , Alabama",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=After+Ruling%2C+Hispanics+Flee+an+Alabama+Town%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2011-10-04&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Robertson%2C+Campbell&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
Alabama's Shame: A harsh immigration law spreads fear and punishes the vulnerable,School superintendents and principals across the state confirm that attendance of Hispanic children has dropped noticeably since the word went out that school officials are now required to check the immigration status of newly enrolled students and their parents.,896005809,Newspapers,, NYTIAO," Bureau of the Census
926110"," Copyright New York Times Company Oct 4, 2011"," 2474807031 , 64650841 , 7818 , NYTIAO , NYT , 886335-20111004", Editorial," Oct 4, 2011",0362-4331, English, English, A.28," New York, N.Y.","Oct 4, 2011",New York Times,2011,https://search.proquest.com/docview/896005809?accountid=14496,,,, A.28,," Aliens , Editorials , State laws , Immigration policy , Xenophobia , Civil rights , Hispanics , Identification documents , Immigrant students , Alabama",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Alabama%27s+Shame%3A+A+harsh+immigration+law+spreads+fear+and+punishes+the+vulnerable%3A+%5BEditorial%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2011-10-04&amp;volume=&amp;issue=&amp;spage=A.28&amp;au=&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,New York Times
FINANCIAL ADVISERS; Reaching Out to Latinos; Firms factor in Hispanic culture in striving to hit the right note,"According to a study by the Ariel Education Initiative--the nonprofit arm of Chicago money manager Ariel Investments--and Hewitt Associates LLC, nearly one-third of Hispanics with 401(k) accounts had outstanding loans against those accounts in 2007, compared with 20% of white workers.",896126181,Newspapers," Jaime Levy Pessin
Jaime Levy Pessin",," Wells Fargo & Co
522110
551111"," (c) 2011 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 2475350011 , 64650361 , 117310 , WSJO , WSJOWSJO000020111004e7a5007eq", News," Oct 5, 2011",, English, English, n/a," New York, N.Y.","Oct 5, 2011",Wall Street Journal (Online),2011,https://search.proquest.com/docview/896126181?accountid=14496,,,, n/a,," Hispanic Americans , Deferred compensation , Nonprofit organizations , Retirement , Wages & salaries , United States--US",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=FINANCIAL+ADVISERS%3B+Reaching+Out+to+Latinos%3B+Firms+factor+in+Hispanic+culture+in+striving+to+hit+the+right+note&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2011-10-05&amp;volume=&amp;issue=&amp;spage=&amp;au=Jaime+Levy+Pessin&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,The Wall Street Journal
LETTERS,,896151078,Newspapers,,,, (Copyright (c) 2011 Los Angeles Times)," 2475613981 , 64670211 , 7683 , ANGE , LATM110033847", News," Oct 5, 2011",0458-3035, English, English, A.14," Los Angeles, Calif.","Oct 5, 2011",Los Angeles Times,2011,https://search.proquest.com/docview/896151078?accountid=14496,,,, A.14,,,,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=LETTERS&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2011-10-05&amp;volume=&amp;issue=&amp;spage=A.14&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Los Angeles Times
