Title,Abstract,StoreId,ArticleType,Authors,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,documentFeatures,startPage,subjectTerms,subjects,FindACopy,Database
The Recap From news services and staff reports,"General Wireless Operations, which set out to revive RadioShack, the venerable consumer-electronics chain, filed for bankruptcy after a last-ditch effort to co-brand with Sprint Corp. still failed to keep up with changing consumer habits. Royal Dutch Shell will sell $7.25 billion of Canadian oil-sands assets, which will boost the share of cleaner-burning gas in its proven reserves from about 50 to 60 percent, its data show. Washington House Republicans released long-anticipated legislation to supplant the...",1876131900,Newspapers,," Royal Dutch Shell PLC
213112
221210
324110 , RadioShack Corp
443142 , Sprint Corp
517210 , General Motors Corp
333415
336111
336390"," (Copyright The Washington Post Company, Mar 12, 2017)"," WPXXWP20170312TheRecapFromnewsservicesandstaffreports8d6bd084 , WPXXWP20170312TheRecapFromnewsservicesandstaffreports8d6bd084 , 7653 , PQ_7653_Mar122017", General Information," Mar 12, 2017",0190-8286, English, English, G.2," Washington, D.C.","Mar 12, 2017",The Washington Post,2017,https://search.proquest.com/docview/1876131900?accountid=14496,, G.2," Womens health , Baby boomers , Bankruptcy , Texas , United States--US , Louisiana , Kalanick, Travis , Tennessee , Michigan , Asia", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=The+Recap+From+news+services+and+staff+reports&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-03-12&amp;volume=&amp;issue=&amp;spage=G.2&amp;au=&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"In the era of Trump, a taxing concern","Federal law requires all workers to file income tax returns, even immigrants in the United States illegally.Since 1996, those who do not have a Social Security number can get a nine-digit Individual Taxpayer Identification Number (ITIN) from the Internal Revenue Service.Some taxpayers who file this way are legal immigrants and foreign investors who do not have Social Security numbers.Maryland Comptroller Peter Franchot has visited CASA workshops to reassure undocumented immigrants that his office, which processes state returns, will not share their private tax information with Immigration and Customs Enforcement.Critics of illegal immigration worry that undocumented immigrants are increasingly filing returns to take advantage of tax credits and other benefits that, they say, should be reserved for low-income families here legally. ""The reason that they're filing is to not pay income tax, but to get a cash welfare program benefit out of the government,"" said Robert Rector, a senior research fellow at the Heritage Foundation, a conservative think tank based in Washington. ""Immigrants paying taxes shouldn't be a controversial issue,"" said Jackie Vimo, policy analyst at the National Immigration Law Center, a nonprofit organization that advocates for low-income immigrants and their families.",1876131970,Newspapers," Sacchetti, Maria
Sacchetti
Maria
Maria Sacchetti"," Internal Revenue Service--IRS
921130 , Congress
921120"," (Copyright The Washington Post Company, Mar 12, 2017)"," WPXXWP20170312IntheeraofTrumpataxingconcernbc6a8760 , WPXXWP20170312IntheeraofTrumpataxingconcernbc6a8760 , 7653 , PQ_7653_Mar122017", News," Mar 12, 2017",0190-8286, English, English, C.6," Washington, D.C.","Mar 12, 2017",The Washington Post,2017,https://search.proquest.com/docview/1876131970?accountid=14496,, C.6," Immigration policy , Manual workers , Taxpayers , Income taxes , Aliens , Low income groups , Nonprofit organizations , Maryland , United States--US , Guatemala , El Salvador", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=In+the+era+of+Trump%2C+a+taxing+concern&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-03-12&amp;volume=&amp;issue=&amp;spage=C.6&amp;au=Sacchetti%2C+Maria&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
San Francisco's exit from FBI task force carries risks,"Under pressure from civil liberties advocates and the Muslim community, the San Francisco Police Department (SFPD) last month pulled out of the FBI's Joint Terrorism Task Force (JTTF) amid controversy over the Trump administration's travel ban and concerns that participation in the task force might violate local laws protecting immigrants and religious minorities.There are 104 such task forces throughout the country - consisting of cells of analysts, SWAT experts and other specialists from local, state and federal law enforcement agencies that collectively assess intelligence and respond to terrorism threats.Civil rights advocates say that municipalities such as San Francisco should not be put in a position of cooperating with federal law enforcement agencies that conduct investigations in a manner that conflicts with local laws and that may share information that leads to noncriminal but undocumented immigrants being deported.Across the bay in the city of Oakland, the city's privacy advisory commission on Thursday recommended the City Council approve an ordinance requiring the police force to follow local rules rather than what the commission thinks are less restrictive strict FBI standards in criminal investigations.In Pasadena, Calif., in February, the city manager suspended an agreement between the police department and the Department of Homeland Security's Immigration and Customs Enforcement (ICE) agency, which authorized joint investigations of human trafficking, drug smuggling and other non-immigration related crimes while the City Council considers a resolution declaring Pasadena a sanctuary city.",1876132109,Newspapers," Nakashima, Ellen
Nakashima
Ellen
Ellen Nakashima"," American Civil Liberties Union--ACLU
541110
813311 , Federal Bureau of Investigation--FBI
922120"," (Copyright The Washington Post Company, Mar 12, 2017)"," WPXXWP20170312SanFranciscosexitfromFBItaskforcecarries62e05bcc , WPXXWP20170312SanFranciscosexitfromFBItaskforcecarries62e05bcc , 7653 , PQ_7653_Mar122017", News," Mar 12, 2017",0190-8286, English, English, A.3," Washington, D.C.","Mar 12, 2017",The Washington Post,2017,https://search.proquest.com/docview/1876132109?accountid=14496,, A.3," Immigration policy , Terrorism , Task forces , Law enforcement , Public safety , Cooperation , Departments , Civil rights , Interviews , Aliens , Cities , New York , Rahimi, Ahmad , Virginia , San Francisco California", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=San+Francisco%27s+exit+from+FBI+task+force+carries+risks&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-03-12&amp;volume=&amp;issue=&amp;spage=A.3&amp;au=Nakashima%2C+Ellen&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Keep the DACA promise,"All in all, the government's reasons for revoking Ramirez's DACA protection and seeking to deport him are pretty flimsy, especially since the government had twice before -- in 2014 and 2016 -- determined that he had no criminal convictions or gang affiliations and posed no threat to public safety. [...]it has revoked DACA relief for 1,500 people since the program began.",1876132792,Newspapers,,," Copyright Los Angeles Times Mar 12, 2017"," 7683 , PQ_7683_Mar122017 , LATMLATM201703126122 , LATMLATM201703126122"," Opinions , Editorial"," Mar 12, 2017",0458-3035, English, English, A.23," Los Angeles, Calif.","Mar 12, 2017",Los Angeles Times,2017,https://search.proquest.com/docview/1876132792?accountid=14496,, A.23," Deportation , Tattoos , Aliens , Editorials , Mexico , United States--US , Central Valley , Baja California Mexico , Obama, Barack",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=Keep+the+DACA+promise&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2017-03-12&amp;volume=&amp;issue=&amp;spage=A.23&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Other,"Just another dark-featured, dark-haired woman in a vast sea of immigrants' kids, I want to tell them. Because the more brown America gets, the more mutable ethnicity - mine, others - is becoming. Asked at his last news conference whether there would be another black president, Obama joked, ""I suspect we'll have a whole bunch of mixed-up presidents at some point that nobody really knows what to call them."" [...]I've spent much of my life awkwardly knocking around the middle, dancing to Bell Biv DeVoe's ""Poison"" with the black girls in middle school, banging my body into white boys in the mosh pit at Lollapalooza, reading books by biracial British author Zadie Smith and Dominican American writer Junot Diaz, and holding hands with a Vietnamese man who I was sure understood me. ""When you have folks calling each other coconuts and Oreos, on the one hand, it's saying, here's a legit way to be Asian American,"" says Jeff Chang, a scholar on race and author of ""We Gon' Be Alright: Notes on Race and Resegregation. When U.S. law allowed only whites, African Americans and those hailing from Africa to become naturalized citizens, Bhagat Singh Thind, a tall, handsome Indian native, argued before the Supreme Court in 1923 that he was descended from Aryans - and so, technically was white, even if his skin wasn't. If my features make me a chameleon, Suri reminds me that South Asians still have privilege: ""The difference is, with Indians, because the institutions aren't leaned...",1876132819,Newspapers," Ramanathan, Lavanya
Ramanathan
Lavanya
Lavanya Ramanathan",," (Copyright The Washington Post Company, Mar 12, 2017)"," WPXXWP20170312Other4ee956f6 , WPXXWP20170312Other4ee956f6 , 7653 , PQ_7653_Mar122017", News," Mar 12, 2017",0190-8286, English, English, A.31," Washington, D.C.","Mar 12, 2017",The Washington Post,2017,https://search.proquest.com/docview/1876132819?accountid=14496,, A.31," Writers , Skin , African Americans , Whites , Aliens , Immigration , South America , United States--US", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Other&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-03-12&amp;volume=&amp;issue=&amp;spage=A.31&amp;au=Ramanathan%2C+Lavanya&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
THE NATION; Travel ban begins to sour tourism; Reports of people being detained at U.S. airports make some reconsider visits.,"During spring break, Canadian families used to pile the kids into a tour bus and head to New York to see the Statue of Liberty, Rockefeller Center and other attractions. The fallout from President Trump's executive orders barring travel from some Middle Eastern and North African countries is having far-reaching implications for U.S. tourism It is not just visitors from the countries targeted by the bans that are souring on U.S. travel; the seven majority-Muslim countries included in Trump's original order in January account for 0.1% of incoming travelers. ""Think twice about visiting America if you don't want the 'Mem Fox' treatment,"" read a recent headline in the letters column of the Australian magazine Traveller, referring to the children's book author who swore she would never return to the U.S. after being questioned at Los Angeles International Airport on her way to a literary conference. On her last trip, a weekend visit in mid-February to see a friend who'd had a heart attack, she said she was pulled out of a line at Washington's Dulles International Airport and made to sit three hours before she was finally admitted. A survey released Wednesday by the Washington-based Global Business Travel Assn. found...",1876132849,Newspapers," Demick, Barbara
Demick
Barbara
Barbara Demick"," Toronto Star
511110 , Los Angeles International Airport
488119"," Copyright Los Angeles Times Mar 12, 2017"," 7683 , PQ_7683_Mar122017 , LATMLATM201703126205 , LATMLATM201703126205", News," Mar 12, 2017",0458-3035, English, English, A.6," Los Angeles, Calif.","Mar 12, 2017",Los Angeles Times,2017,https://search.proquest.com/docview/1876132849?accountid=14496,, A.6," Airports , Business travel , Tourism , Mexico , New York , United States--US"," UNITED STATES , TRAVEL RESTRICTIONS , TRAVEL , TOURISM , TRAVEL INDUSTRY",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=THE+NATION%3B+Travel+ban+begins+to+sour+tourism%3B+Reports+of+people+being+detained+at+U.S.+airports+make+some+reconsider+visits.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2017-03-12&amp;volume=&amp;issue=&amp;spage=A.6&amp;au=Demick%2C+Barbara&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
They're undocumented. Their kids are citizens. What now?,"The fear persists during the day, particularly when she watches news about President Trump's promised crackdown on immigrants in the country illegally, such as her and her husband. Notwithstanding the bombast of Trump who, astonishingly, told Congress that we have left our ""borders wide open, for anyone to cross,"" the actual number of immigrants in the country illegally has held steady since 2009, according to the Pew Research Center. Lupita was employed at an insurance company but had to quit because of her immigration status, and went to work instead in her family's L.A. janitorial business. A 2013 paper for the Inter-American Human Rights Court reported that the children of immigrants in the country illegally are likely to have problems ""including emotional wellbeing, academic performance, and health status,"" and that ""they are more likely to report anxiety, fear, sadness, posttraumatic stress symptoms, anger, and withdrawal."" If deported parents make the Solomonic choice to leave their children behind, the kids are likely to face ""internalizing symptoms (depression, anxiety), externalizing behaviors (withdrawal, aggression), and social and cognitive difficulties."" Lupita fought back tears as she filled out a power-of-attorney form, granting custody of their daughters to Pepe's parents, both legal residents, should the...",1876132874,Newspapers," Kaye, Jeffrey
Kaye
Jeffrey
Jeffrey Kaye"," Congress
921120 , Pew Research Center for the People & the Press
541720"," Copyright Los Angeles Times Mar 12, 2017"," 7683 , PQ_7683_Mar122017 , LATMLATM201703126124 , LATMLATM201703126124", Opinions," Mar 12, 2017",0458-3035, English, English, A.25," Los Angeles, Calif.","Mar 12, 2017",Los Angeles Times,2017,https://search.proquest.com/docview/1876132874?accountid=14496,, A.25," Immigration policy , Parents & parenting , Families & family life , Fear & phobias , Deportation , Employment , Aliens , California , Los Angeles California , United States--US , Spicer, Sean",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=They%27re+undocumented.+Their+kids+are+citizens.+What+now%3F&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2017-03-12&amp;volume=&amp;issue=&amp;spage=A.25&amp;au=Kaye%2C+Jeffrey&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
SPRING ARTS / HIGHLIGHTS; ART,"March 19-April 8 'MONTARlaBestia' Artist Demian Flores and curators Marco Barrera Bassols and Mardonio Carballo's exhibition showcases 50 artists and poets addressing the treacherous La Bestia train carrying Central American immigrants to the U.S. USC Fisher Museum of Art, 823 W. Exposition Blvd., L.A. (213) 740-4561. fisher.usc.edu -- March 28 'Say Her Name: An Evening of Arts and Action' As part of the Hammer's Bureau of Feminism initiative incorporating exhibitions and performances, the museum will host an evening of spoken word, song and dance honoring the lives of women and girls of color who experienced police violence. 3 2017 California Pacific Triennial The Orange County Museum of Art says its survey of contemporary sculpture, photography, installation, performance and drawing, all from Pacific Rim artists, will explore architecture ""and the temporal precariousness of the built environment."" May 25 Marciano Art Foundation The museum from Guess co-founders Paul and Maurice Marciano will...",1876132923,Newspapers," Vankin, Deborah
Vankin
Deborah
Deborah Vankin"," Norton Simon Museum
712110 , Geffen Contemporary at MOCA
712110"," Copyright Los Angeles Times Mar 12, 2017"," 7683 , PQ_7683_Mar122017 , LATMLATM201703126179 , LATMLATM201703126179", General Information," Mar 12, 2017",0458-3035, English, English, F.5," Los Angeles, Calif.","Mar 12, 2017",Los Angeles Times,2017,https://search.proquest.com/docview/1876132923?accountid=14496,, F.5," Art galleries & museums , Artists , Photographs , Photographers , Art exhibits , Sculpture , Painting , Klee, Paul (1879-1940) , New York , United States--US , North America , Rauschenberg, Robert , Takei, George , Los Angeles County California , California , Gharem, Abdulnasser , Kandinsky, Vasily (1866-1944)",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=SPRING+ARTS+%2F+HIGHLIGHTS%3B+ART&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2017-03-12&amp;volume=&amp;issue=&amp;spage=F.5&amp;au=Vankin%2C+Deborah&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
City's letter to president raises public suspicions; Some San Bernardino residents say request for federal assistance on pot enforcement will only spread fear.,"' "" The letter was written by the mayor and signed by the city attorney, city manager and police chief, as well as all of the City Council members.The letter was not discussed publicly by the council before it was sent, and it focused heavily on requesting federal assistance with marijuana enforcement only a few months after voters overturned a citywide ban on pot businesses.Councilman Henry Nickel said he would welcome an ""initial surge"" in federal law enforcement to help boost the city's depleted Police Department, while Councilman James Mulvihill wanted to ask for only financial support.Scott mentioned that last year under the Obama administration, the U.S. Department of Justice approved a $2.8-million grant to help the city hire 11 new police officers.On Monday, several residents confronted the City Council at its meeting, and the city attorney warned that members might have violated the state's open-meetings law by approving the letter without a public hearing.City Atty. Gary Saenz last week said he planned to advise the council to rescind the letter to avoid a possible lawsuit over whether it was sent in violation of state law.",1876132965,Newspapers," Esquivel, Paloma
Esquivel
Paloma
Paloma Esquivel"," San Bernardino Valley College
611310"," Copyright Los Angeles Times Mar 12, 2017"," 7683 , PQ_7683_Mar122017 , LATMLATM201703126210 , LATMLATM201703126210", News," Mar 12, 2017",0458-3035, English, English, B.1," Los Angeles, Calif.","Mar 12, 2017",Los Angeles Times,2017,https://search.proquest.com/docview/1876132965?accountid=14496,, B.1," Violence , Presidents , Councils , Law enforcement , Public hearings , Murders & murder attempts , Marijuana , Chicago Illinois"," SAN BERNARDINO (CA) , LETTERS , FEDERAL AID , LAW ENFORCEMENT , GOVERNMENT OFFICIALS , PUBLIC OPINION",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Alatimes&amp;atitle=City%27s+letter+to+president+raises+public+suspicions%3B+Some+San+Bernardino+residents+say+request+for+federal+assistance+on+pot+enforcement+will+only+spread+fear.&amp;title=Los+Angeles+Times&amp;issn=04583035&amp;date=2017-03-12&amp;volume=&amp;issue=&amp;spage=B.1&amp;au=Esquivel%2C+Paloma&amp;isbn=&amp;jtitle=Los+Angeles+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Cornerman threw, drew haymakers","Lou Duva, a Hall of Fame boxing manager and trainer who guided more than a dozen fighters to world titles and whose pugnacious personality and promotional savvy made him one of the most colorful figures in his sport, died March 8 at a hospital in Paterson, N.J. He was 94.Mr. Duva worked at various times as a truck driver, bail bondsman and president of a Teamsters union local in New Jersey, but he was drawn to boxing from childhood, when he tagged along with his older brother to a gym.In his spare time, Mr. Duva began working with boxers in Paterson and Totowa, N.J., learning every facet of the trade from wrapping hands to stopping cuts to promoting fights in small clubs. ""Lou is the genuine article,"" Pulitzer Prize-winning sports columnist Jim Murray wrote in 1991, ""the throwback - the old-fashioned, old-time fight manager. ..The family firm promoted a 1981 title bout between Sugar Ray Leonard and Thomas Hearns at Houston's Astrodome, clearing more than $1.5 million.Mr. Duva's biggest moment came on Oct. 25, 1990, when another boxer he managed, Evander Holyfield, knocked out Buster Douglas to become the undisputed heavyweight champion of the world.",1876134261,Newspapers," Schudel, Matt
Schudel
Matt
Matt Schudel"," Sports Illustrated
511120 , New York Daily News
511110"," (Copyright The Washington Post Company, Mar 12, 2017)"," WPXXWP20170312Cornermanthrewdrewhaymakers88421956 , WPXXWP20170312Cornermanthrewdrewhaymakers88421956 , 7653 , PQ_7653_Mar122017", News," Mar 12, 2017",0190-8286, English, English, C.7," Washington, D.C.","Mar 12, 2017",The Washington Post,2017,https://search.proquest.com/docview/1876134261?accountid=14496,, C.7," World War II , Boxing , New York , New Jersey", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Cornerman+threw%2C+drew+haymakers&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-03-12&amp;volume=&amp;issue=&amp;spage=C.7&amp;au=Schudel%2C+Matt&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Gerrymandering by Tex. lawmakers aimed to hurt minorities, judges say",A panel of federal judges has ruled that Texas's Republican-led legislature gerrymandered some of the state's congressional districts to stunt the growing influence of minority voters. Rick Perry (R) signed a voter ID law that a federal appeals court ultimately found discriminates against minorities. Dissenting Judge Jerry E. Smith of the U.S. Court of Appeals for the 5th Circuit said previous rulings over years of litigation made the case moot.,1876134281,Newspapers," Barnes, Robert
Robert
Robert Barnes
Barnes
Robert Barnes"," Republican Party
813940"," (Copyright The Washington Post Company, Mar 12, 2017)"," WPXXWP20170312GerrymanderingbyTexlawmakersaimedtohurtm97b6ab0a , WPXXWP20170312GerrymanderingbyTexlawmakersaimedtohurtm97b6ab0a , 7653 , PQ_7653_Mar122017", News," Mar 12, 2017",0190-8286, English, English, A.4," Washington, D.C.","Mar 12, 2017",The Washington Post,2017,https://search.proquest.com/docview/1876134281?accountid=14496,, A.4," Court hearings & proceedings , Apportionment , Race relations , Federal court decisions , Texas , United States--US , Perry, Rick , Farenthold, Blake", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Gerrymandering+by+Tex.+lawmakers+aimed+to+hurt+minorities%2C+judges+say&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-03-12&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Barnes%2C+Robert&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
The East-West divide starts with how we see ourselves,"In her new book, ""The Girl at the Baggage Claim,"" Gish Jen turns her novelist's eye to the exploration of the centuries-old enigma of why people in the East and the West see themselves, others, society and culture so differently.Jen uses data from the Census Bureau's ""Quick Facts"" to point out that Harvard, Yale, Princeton and Stanford are more than 20 percent Asian American, though Asian Americans make up less than 6 percent of the population.In 2011, Apple found faux Apple stores in Kunming, China, that had been copied, as Jen puts it, in ""painstaking detail, from the expansive blond-wood counters to the floor-to-ceiling glass front wall.""The girl at the Baggage Claim Explaining the East-West Culture Gap By Gish Jen Knopf. 336 pp. $26.95.Description This is shaping up to be China's century, which makes this book both timely and extremely important.Book Name The Girl at the Baggage Claim: Explaining the East-West Culture Gap Book Website http://www.penguinrandomhouse.com/books/537621/the-girl-at-the-baggage-claim-by-gish-jen/9781101947821/ Book ISBN 978 1101947821 Date Book was Published 2017-02-28 Book Author's Name Gish Jen Book Author's Website http://www.gishjen.com/ Reviewer's Website (if not on staff) http://www.lisasee.com/",1876134288,Newspapers," See, Lisa
See
Lisa
Lisa See",," (Copyright The Washington Post Company, Mar 12, 2017)"," WPXXWP20170312TheEastWestdividestartswithhowweseeourse4d627792 , WPXXWP20170312TheEastWestdividestartswithhowweseeourse4d627792 , 7653 , PQ_7653_Mar122017", News," Mar 12, 2017",0190-8286, English, English, B.6," Washington, D.C.","Mar 12, 2017",The Washington Post,2017,https://search.proquest.com/docview/1876134288?accountid=14496,, B.6," Writers , Students , Essays , Asian Americans , Culture , Books , Education , China , United States--US", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=The+East-West+divide+starts+with+how+we+see+ourselves&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-03-12&amp;volume=&amp;issue=&amp;spage=B.6&amp;au=See%2C+Lisa&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Gaining freedom - for a price,"In exchange for their freedom, immigrants sign contracts promising to pay Libre $420 per month while wearing the company's GPS devices.After he surrendered to Border Patrol agents in Texas and asked for asylum, ICE sent him to the Northwest Detention Center, a cavernous facility for detained immigrants in Tacoma, and set his bond at $7,500.An unprecedented immigration court backlog of more than 540,000 cases, fueled by the Central American refugee crisis and coupled with soaring immigration bond prices, means that many detainees eligible for bail choose between spending many months behind bars or paying Libre's fees. ""There is a devil behind the door to liberation,"" said Paromita Shah, associate director at the National Immigration Project of the National Lawyers Guild, an immigration rights group.Two lawsuits in California, including a class-action complaint filed last month, could bring new attention to the company's business practices and the control it wields over the lives of its clients.Jesus Escobar-Villalta, a 22-year-old asylum seeker from Honduras, said his GPS device began to bite into his ankle not long after his release from ICE custody.The company said in an email that its device was not to blame for his hospitalization and that ""if the client's hospital bill wasn't paid, it was because we never received a copy.""In Trump's capital, undocumented immigrants live and work in the shadow of the White House Rustic Camp David may be doomed with Trump as president Bill Dean throws wild Georgetown parties.",1876134291,Newspapers," Miller, Michael E
Miller
E
Michael
Michael E Miller",," (Copyright The Washington Post Company, Mar 12, 2017)"," WPXXWP20170312Gainingfreedomforaprice14f4fbc2 , WPXXWP20170312Gainingfreedomforaprice14f4fbc2 , 7653 , PQ_7653_Mar122017", News," Mar 12, 2017",0190-8286, English, English, A.1," Washington, D.C.","Mar 12, 2017",The Washington Post,2017,https://search.proquest.com/docview/1876134291?accountid=14496,, A.1," Immigration policy , Ankle , Detention centers , Political asylum , Employees , Border patrol , Aliens , Fees & charges , Breach of contract , California , Honduras , El Salvador", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Gaining+freedom+-+for+a+price&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2017-03-12&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Miller%2C+Michael+E&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
