Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,FindACopy,Database
Hillary Clinton and Donald Trump Battle to the End; Presidential candidates in 2016 election hopscotch from state to state in frenetic close to bitter and volatile campaign,"  Through mid-October, campaigns and outside groups backing Mr. Trump and Mrs. Clinton had spent more than $1 billion on the presidential race, according to a Campaign Finance Institute analysis of Federal Election Commission filings.",1836796218,Newspapers," Epstein, Reid J
Epstein
J
Reid
Reid J. Epstein; Beth Reinhard; Carol E. Lee , Reinhard, Beth
Reinhard
Beth , Lee, Carol E
Lee
E
Carol , Epstein, Reid J
Epstein
J
Reid
Reid J. Epstein , Reinhard, Beth
Reinhard
Beth
Beth Reinhard , Lee, Carol E
Lee
E
Carol
Carol E. Lee",," Senate
921120 , Republican Party
813940 , NBC News Channel
515120 , Federal Election Commission
921190"," (c) 2016 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4241407301 , 108899462 , 117310 , WSJO , WSJOWSJO20161108000020161107ecb7009q2", News," Nov 8, 2016",, English, English, n/a," New York, N.Y.","Nov 8, 2016",Wall Street Journal (Online),2016,https://search.proquest.com/docview/1836796218?accountid=14496, n/a," Political campaigns , Polls & surveys , Voter behavior , Political finance , Pennsylvania , Florida , North Carolina , Obama, Barack",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Hillary+Clinton+and+Donald+Trump+Battle+to+the+End%3B+Presidential+candidates+in+2016+election+hopscotch+from+state+to+state+in+frenetic+close+to+bitter+and+volatile+campaign&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2016-11-08&amp;volume=&amp;issue=&amp;spage=&amp;au=Epstein%2C+Reid+J%3BReinhard%2C+Beth%3BLee%2C+Carol+E&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
"Janet Reno, First Female U.S. Attorney General, Dies at 78; Ms. Reno, a polarizing figure of the Clinton administration, died from complications of Parkinson's disease",,1836802781,Newspapers," Campo-Flores, Arian
Campo-Flores
Arian
Arian Campo-Flores , Campo-Flores, Arian
Campo-Flores
Arian
Arian Campo-Flores",,," (c) 2016 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4241427331 , 108899462 , 117310 , WSJO , WSJOWSJO20161108000020161107ecb7002mj", News," Nov 8, 2016",, English, English, n/a," New York, N.Y.","Nov 8, 2016",Wall Street Journal (Online),2016,https://search.proquest.com/docview/1836802781?accountid=14496, n/a,,,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Janet+Reno%2C+First+Female+U.S.+Attorney+General%2C+Dies+at+78%3B+Ms.+Reno%2C+a+polarizing+figure+of+the+Clinton+administration%2C+died+from+complications+of+Parkinson%27s+disease&amp;title=Wall+Street+Journal+%28Online%29&amp;issn=&amp;date=2016-11-08&amp;volume=&amp;issue=&amp;spage=&amp;au=Campo-Flores%2C+Arian&amp;isbn=&amp;jtitle=Wall+Street+Journal+%28Online%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"International Newsstream,US Major Dailies"
"Afghans, puzzling over U.S. presidential race, appear divided on candidates","  Perhaps it should not come as a surprise, then, that Afghans - like Americans - appear to be divided into two camps on the U.S. presidential election.",1836857447,Newspapers," Constable, Pamela
Constable
Pamela
Pamela Constable , Constable, Pamela
Constable
Pamela
Pamela Constable",," Taliban
813940"," (Copyright The Washington Post Company, Nov 8, 2016)"," 4241368691 , 108892002 , 7653 , TWP , WPXXWP20161108AfghanspuzzlingoverUSpresidentialraceapp1ba4c236", News," Nov 8, 2016",0190-8286, English, English, A.10," Washington, D.C.","Nov 8, 2016",The Washington Post,2016,https://search.proquest.com/docview/1836857447?accountid=14496, A.10," Politics , Muslims , Casualties , Afghanistan , United States--US", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Afghans%2C+puzzling+over+U.S.+presidential+race%2C+appear+divided+on+candidates&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2016-11-08&amp;volume=&amp;issue=&amp;spage=A.10&amp;au=Constable%2C+Pamela&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
The next president might not get the most votes,"  College rules When voters choose a senator or a school board member, election officials count the votes and declare a winner - usually within a day or so. Adams formed a political alliance with Speaker of the House Henry Clay, who had also been a presidential candidate that year.",1836857449,Newspapers," Barron, Christina
Barron
Christina
Christina Barron , Barron, Christina
Barron
Christina
Christina Barron",," Congress
921120"," (Copyright The Washington Post Company, Nov 8, 2016)"," 4241368911 , 108892002 , 7653 , TWP , WPXXWP20161108Thenextpresidentmightnotgetthemostvotesb9630680", General Information," Nov 8, 2016",0190-8286, English, English, C.1," Washington, D.C.","Nov 8, 2016",The Washington Post,2016,https://search.proquest.com/docview/1836857449?accountid=14496, C.1," Presidential elections , Candidates , American history , Election results , United States--US", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=The+next+president+might+not+get+the+most+votes&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2016-11-08&amp;volume=&amp;issue=&amp;spage=C.1&amp;au=Barron%2C+Christina&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Locked up and in limbo,  [...]immigrant advocates say the recent decision by the U.S. Court of Appeals for the 4th Circuit gives too much power to the resettlement office.,1836857455,Newspapers," Marimow, Ann E
Marimow
E
Ann
Ann E Marimow , Weiner, Rachel
Weiner
Rachel
Rachel Weiner , Marimow, Ann E
Marimow
E
Ann
Ann E Marimow , Weiner, Rachel
Weiner
Rachel
Rachel Weiner",," Department of Health & Human Services
923120"," (Copyright The Washington Post Company, Nov 8, 2016)"," 4241674101 , 108892002 , 7653 , TWP , WPXXWP20161108Lockedupandinlimbod39828f2", News," Nov 8, 2016",0190-8286, English, English, B.1," Washington, D.C.","Nov 8, 2016",The Washington Post,2016,https://search.proquest.com/docview/1836857455?accountid=14496, B.1," Federal court decisions , Immigration , Child custody , Children & youth , Court hearings & proceedings , Border patrol , Sons , Texas , California", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Locked+up+and+in+limbo&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2016-11-08&amp;volume=&amp;issue=&amp;spage=B.1&amp;au=Marimow%2C+Ann+E%3BWeiner%2C+Rachel&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
The president doesn't always get the most votes,"  College rules When voters choose a senator or a school board member, election officials count the votes and declare a winner - usually within a day or so. Adams formed a political alliance with Speaker of the House Henry Clay, who had also been a presidential candidate that year.",1836857540,Newspapers," Barron, Christina
Barron
Christina
Christina Barron , Barron, Christina
Barron
Christina
Christina Barron",," Congress
921120"," (Copyright The Washington Post Company, Nov 8, 2016)"," 4241674081 , 108892002 , 7653 , TWP , WPXXWP20161108Thepresidentdoesntalwaysgetthemostvotes66f94e04", General Information," Nov 8, 2016",0190-8286, English, English, C.8," Washington, D.C.","Nov 8, 2016",The Washington Post,2016,https://search.proquest.com/docview/1836857540?accountid=14496, C.8," Presidential elections , Candidates , American history , Election results , United States--US", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=The+president+doesn%27t+always+get+the+most+votes&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2016-11-08&amp;volume=&amp;issue=&amp;spage=C.8&amp;au=Barron%2C+Christina&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Trump said he sparked a movement. He was right.,"  For 50 minutes, the unlikely Republican presidential candidate ordered journalists to pan the sprawling crowd with their cameras, mocked 2012 GOP nominee Mitt Romney, imitated political pundits, bragged about his poll numbers, plugged an upcoming ""60 Minutes"" interview and promised that he would make the country wealthy again. [...]Trump told his supporters that it was okay to blame their financial problems on undocumented immigrants and the Chinese, that it was okay to be fearful of Muslims and those who don't speak English, that it was okay to punch back at Black Lives Matter activists, that it was okay to hate Democratic nominee Hillary Clinton.",1836857549,Newspapers," Johnson, Jenna
Johnson
Jenna
Jenna Johnson , Johnson, Jenna
Johnson
Jenna
Jenna Johnson",,," (Copyright The Washington Post Company, Nov 8, 2016)"," 4241368991 , 108892002 , 7653 , TWP , WPXXWP20161108TrumpsaidhesparkedamovementHewasrightab9c0b48", News," Nov 8, 2016",0190-8286, English, English, A.1," Washington, D.C.","Nov 8, 2016",The Washington Post,2016,https://search.proquest.com/docview/1836857549?accountid=14496, A.1," Candidates , Political activism , Politics , Nominations , Oklahoma", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Trump+said+he+sparked+a+movement.+He+was+right.&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2016-11-08&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Johnson%2C+Jenna&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Tough-minded lawyer was first female attorney general,"  Republicans criticized her bitterly for what they said was pandering to the Clinton White House - she refused, for instance, to launch an independent investigation into whether Vice President Al Gore illegally raised funds from the White House during the 1996 Clinton-Gore reelection campaign.",1836857558,Newspapers," Hanes, Stephanie
Hanes
Stephanie
Stephanie Hanes , Hanes, Stephanie
Hanes
Stephanie
Stephanie Hanes",," Federal Bureau of Investigation--FBI
922120"," (Copyright The Washington Post Company, Nov 8, 2016)"," 4241674111 , 108892002 , 7653 , TWP , WPXXWP20161108Toughmindedlawyerwasfirstfemaleattorneyg50fe8810", News," Nov 8, 2016",0190-8286, English, English, B.5," Washington, D.C.","Nov 8, 2016",The Washington Post,2016,https://search.proquest.com/docview/1836857558?accountid=14496, B.5," Attorneys general , Presidents , Scandals , Political campaigns , Florida", EZ,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awashingtonpost&amp;atitle=Tough-minded+lawyer+was+first+female+attorney+general&amp;title=The+Washington+Post&amp;issn=01908286&amp;date=2016-11-08&amp;volume=&amp;issue=&amp;spage=B.5&amp;au=Hanes%2C+Stephanie&amp;isbn=&amp;jtitle=The+Washington+Post&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
"Clinton, Trump Battle to The End --- Candidates hopscotch from state to state in frenetic close to bitter and volatile campaign","  Through mid-October, campaigns and outside groups backing Mr. Trump and Mrs. Clinton had spent more than $1 billion on the presidential race, according to a Campaign Finance Institute analysis of Federal Election Commission filings.",1836885955,Newspapers," Epstein, Reid J
Epstein
J
Reid
Reid J. Epstein; Beth Reinhard; Carol E. Lee , Reinhard, Beth
Reinhard
Beth , Lee, Carol E
Lee
E
Carol , Epstein, Reid J
Epstein
J
Reid
Reid J. Epstein , Reinhard, Beth
Reinhard
Beth
Beth Reinhard , Lee, Carol E
Lee
E
Carol
Carol E. Lee",," Senate
921120 , Supreme Court-US
922110"," (c) 2016 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4241766451 , 108908902 , 7510 , WSJ , DWJNJ000000020161108ecb80001z", News," Nov 8, 2016",0099-9660, English, English, A.1," New York, N.Y.","Nov 8, 2016",Wall Street Journal,2016,https://search.proquest.com/docview/1836885955?accountid=14496, A.1," Political campaigns , Polls & surveys , Voter behavior , Political finance , Presidential elections , United States--US , Clinton, Hillary , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Clinton%2C+Trump+Battle+to+The+End+---+Candidates+hopscotch+from+state+to+state+in+frenetic+close+to+bitter+and+volatile+campaign&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2016-11-08&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Epstein%2C+Reid+J%3BReinhard%2C+Beth%3BLee%2C+Carol+E&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
Overheard,"  The S&amp;P 500 gained 2.2% on the news that the FBI found no new evidence to warrant charges against the Democratic presidential candidate, but Western Union easily outstripped that, finishing the day 3.7% higher.",1836887454,Newspapers," Anonymous
Anonymous
Anonymous
Anonymous , Anonymous
Anonymous
Anonymous
Anonymous",," Federal Bureau of Investigation--FBI
922120 , Corrections Corp of America
561210 , Western Union Financial Services Inc
522320"," (c) 2016 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," 4241770531 , 108908902 , 7510 , WSJ , DWJNJ000000020161108ecb800027", News," Nov 8, 2016",0099-9660, English, English, C.8," New York, N.Y.","Nov 8, 2016",Wall Street Journal,2016,https://search.proquest.com/docview/1836887454?accountid=14496, C.8," Presidential elections , Firearms , Candidates , United States--US , Trump, Donald J",,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Overheard&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2016-11-08&amp;volume=&amp;issue=&amp;spage=C.8&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,US Major Dailies
