document,topic,gamma,document_number,year,StoreId,Title,Abstract,subjectTerms
2511,1,0.9993301694552642,2511,2011,858627250,"Mexicans Fill Pews, Even as the Church Is Slow to Adapt","Yet while no one expects anything that drastic, some clergy members, parishioners and even bishops say that decades after Mexicans began streaming into New York, the city's two dioceses still have not done nearly enough to attract and hold on to Mexican Catholics, particularly younger immigrants and their children. Religious experts familiar with the challenge say that archdioceses in Los Angeles, San Antonio and Chicago have focused more attention on Mexicans, providing comprehensive social services and referrals, and advocating for political causes like immigrants' rights.","Aliens , Clergy , Hispanic Americans , Religious congregations , New York City New York"
1731,1,0.9992599746873226,1731,2010,375561013,New York Charter Schools Lag in Enrolling Hispanics,"(Excluding high schools, blacks make up 62 percent of the charter schools' enrollment.) Lillian Rodriguez Lopez, the president of the Hispanic Federation, a network of social service organizations, has been supportive of Mayor Michael R. Bloomberg's changes in school governance, but she said the low enrollment of Latino students was a worrisome sign, particularly because the mayor and Chancellor Joel I. Klein praise the charter schools as beacons of success.","Hispanic students , Black students , Enrollments , Demographics , Charter schools , New York City New York"
6970,1,0.9990192072866281,6970,2015,1713878230,"The Pope in America; Generation Gap Among Catholic Hispanics; Children of immigrants turning away from church, but dioceses are reaching out","  About 61% of the 1.4 million Catholics in the Houston metropolitan area are Latino, according to Rice University's Kinder Institute for Urban Research. [...]with an eye on the future, the Galveston-Houston archdiocese is now offering grants to enable hundreds of Hispanic young adults to attend training to become lay leaders and do outreach to fellow youngsters.","Religion , Catholicism , Young adults , Generation Y , Hispanic Americans , United States--US , Texas"
1417,1,0.9989962902836828,1417,2010,422449600,"More Latinos are leaving home for college; Some find it hard to break from tradition, but they and their families see benefits.","Since 1975, the share of Latino freshmen at four-year colleges who choose schools more than 50 miles from home has risen to nearly 59% from about 46%, and the share who attend such colleges within 10 miles of home dropped to 15% from 30%, according to a study by UCLA's Higher Education Research Institute.","Hispanic Americans , Community colleges , College students , Hispanic students"
6470,1,0.9989449331339257,6470,2015,1672344015,Where Are the Teachers of Color?,"  According to Anna Jacob Egalite, a postdoctoral fellow at Harvard and an author of a new study, the largest improvements amounted to about one month of additional learning within a school year. Teach for America, the group that places high-achieving college graduates in low-income schools for two-year stints, last year sent recruiters to 100 historically black colleges and 130 colleges with predominantly Latino students, said Elisa Villanueva Beard, co-chief executive of Teach for America.","Minority students , Colleges & universities , Teaching , Teacher education , Hispanic Americans , Hispanic students , Teachers"
119,1,0.998922887727177,119,2008,422191664,A different kind of home schooling; Teachers work with immigrant parents to help them help their young students catch up. One goal is to prevent future dropouts.,"[...] kindergarten teachers taught parents simple ways to help their children and reinforce what they were learning in class: tracing numbers in salt on cookie sheets, making letters with Play-doh or simply conversing with them about their day.","Tutoring , Preschool education , Parent participation , Immigration , Aliens , Home school relationship , Kindergarten students"
2596,1,0.9988534088432883,2596,2011,863061560,The mother tongues; To join or not to join -- a grand L.A. Unified experiment in dual-language immersion.,"The dual-language model seems to be shaping their tongues into one. Because the school is in Highland Park, most of the kids are working class, but several come from middle-class households -- a sign of the dramatic transition the area has undergone in the last decade.","Students , Linguistics , Bilingual education , Los Angeles California"
5451,1,0.9987801562478948,5451,2014,1521424945,Growing Number of Hispanics in U.S. Leave Catholic Church; Trends Mirror Other Countries as Different Religions Benefit,"  The two women represent distinct religious trends among Hispanics in the U.S.: going from Catholic to evangelical Christian and from Catholic to religiously unaffiliated, according to a new Pew Research Center study. Since the 1990s, the Roman Catholic Church in the U.S. has counted on Hispanics, many of them arrivals in a massive immigration wave, to bolster its shrinking ranks.","Religion , Hispanic Americans , Catholicism , Christianity , Immigration policy , United States--US"
6975,1,0.9987290265983376,6975,2015,1713902392,The Pope in America (A Special Report) --- Generation Gap Among Hispanics,"  About 61% of the 1.4 million Catholics in the Houston metropolitan area are Latino, according to Rice University's Kinder Institute for Urban Research. [...]with an eye on the future, the Galveston-Houston archdiocese is now offering grants to enable hundreds of Hispanic young adults to attend training to become lay leaders and do outreach to fellow youngsters.","Papal visits , Generation Y , Demographics , Series & special reports , Catholicism , Hispanic Americans , United States--US"
1693,1,0.9986968968149715,1693,2010,356469906,"Intermarriage Slows Among Hispanics, Asians; Changing Attitudes and Immigration Patterns Prompt a Break From the Overall Trend of More Unions Between Ethnic Groups","[...] new research concludes that intermarriage rates between Hispanics and non-hispanic whites and between Asians and whites have declined or stagnated over the past two decades, due in part to a surge in immigration that has expanded the pool of people of marrying age in those groups.","Minority & ethnic groups , Colleges & universities , Whites , United States--US"
1692,1,0.9986935945004247,1692,2010,356535487,"Marriage Study Raises Assimilation Questions; Hispanics and Asians Retreat From Intermarriage Amid New Attitudes About Cultural Identity, Influx of Immigration","[...] new research concludes that intermarriage rates between Hispanics and whites and between Asians and whites have declined or stagnated over the past two decades, due in part to a surge in immigration that has expanded the pool of people of marrying age in those groups.","Minority & ethnic groups , Colleges & universities , Cultural identity , United States--US"
2835,1,0.9986665609443989,2835,2011,879668694,Slower Racial Change Found in Census of City,"Compared with the 1990s, the numbers of Hispanic and Asian New Yorkers grew more slowly; blacks recorded their first population loss since the Civil War; and non-Hispanic whites, who registered their smallest population loss in decades, also logged the biggest gains of any group among young children.","Whites , African Americans , Couples , Census of Population , Race , New York City New York"
5456,1,0.9986275086750463,5456,2014,1521903847,U.S. News: Latinos' Spiritual Movement --- Increasing Share in U.S. Are Leaving Catholicism and Joining Evangelical Churches,"  The two women represent distinct religious trends among Hispanics in the U.S.: going from Catholic to evangelical Christian and from Catholic to religiously unaffiliated, according to a new Pew Research Center study. Since the 1990s, the Roman Catholic Church in the U.S. has seen Hispanics, many of them arrivals in a massive immigration wave, help bolster its shrinking ranks.","Catholicism , Evangelicalism , Religion , Hispanic Americans , Social conditions & trends -- United States--US , United States--US"
7239,1,0.9985899659425966,7239,2015,1739192034,"Segregation is declining in most U.S. cities, census figures show","  American urban areas have become significantly less racially segregated over the last 15 years as middle-class blacks continue to move to suburbs and whites and Latinos move into neighborhoods that were once heavily African American, according to newly released census data.","Urban areas , Segregation , Census of Population , Neighborhoods , Cities , Suburban areas , Detroit Michigan , Chicago Illinois , Los Angeles California , New York"
3434,1,0.9985379763957082,3434,2012,963818424,U.S. Residents Eschew 'Hispanic' Label,"An additional 21% said they called themselves American most often, a figure that climbed to 40% among those born in the U.S. ""Hispanic"" and ""Latino"" have become embedded in the American mosaic, appearing in Census forms, newspapers and political polling since the U.S. government in 1976 passed a law requiring federal agencies to collect data on people who trace their ancestry to Spanish-speaking countries by aggregating them in one group.","Genealogy , Census of Population , Hispanic Americans , United States--US"
955,1,0.9985254290136671,955,2009,434076662,"What's in a Name? For Hispanics, a Generational Shift","Pew projects that the proportion of third-generation Hispanic children will begin growing around 2015. Since 2000, the number of babies born to Hispanic women in the United States has surpassed the number of Hispanic immigrants, which means a growing proportion of Hispanic people are being raised as Americans from birth.","Children & youth , Hispanic Americans , Names , Assimilation , United States--US"
3435,1,0.9984453846754231,3435,2012,964008713,"'Hispanics' Like Clout, Not the Label","An additional 21% said they called themselves American most often, a figure that climbed to 40% among those born in the U.S. ""Hispanic"" and ""Latino"" have become embedded in American usage, appearing in census forms, newspapers and political polling since the U.S. government in 1976 passed a law requiring federal agencies to collect data on people who trace their ancestry to Spanish-speaking countries by aggregating them in one group.","Genealogy , Aliens , Hispanic Americans , United States--US"
1238,1,0.99838194547278,1238,2009,399135090,"U.S. News: Census Turns to Kids for Help --- In Immigrant Neighborhoods, a Way to Reach Adults Who Don't Speak English","Census lesson plans, accessible to schools on the Internet, are meant to help students develop map literacy, graphing and reading skills.","Immigration , Families & family life , Census of Population , Initiatives , Children & youth"
1371,1,0.9983402716582324,1371,2010,434270180,Census Figures Challenge Views of Race and Ethnicity,"Among the foreign born, 46 percent identified themselves as white and 23 percent as Asian. Since 2000, the Hispanic foreign-born population has increased 45 percent, to 18.5 million from 12.8 million.","Aliens , Immigration , Asian Americans , Demographics , Census of Population , Multiculturalism & pluralism , United States--US"
4778,1,0.9982075355867144,4778,2013,1418066889,More languages being used in U.S. homes; But Census Bureau data also show that English proficiency hasn't suffered.,"  [...]Latino immigrant adults are spending longer in the United States, on average, than they did earlier in the millennium, giving them more time to pick up the language.","Hispanic Americans , Aliens , Census of Population , Chinese languages , Demographics , Multiculturalism & pluralism , Immigration policy , Language policy , California , United States--US"
2520,1,0.9981758209819355,2520,2011,858749771,Non-Hispanic Whites Are Now a Minority in the 23-County New York Region,"""There was a very long history of strong ethnic boundaries, with a buildup of black and Hispanic -- originally Puerto Rican -- enclaves in large sections of the city, partly anchored by public housing,"" said John R. Logan, a sociologist at Brown University and director of the US2010 Project, a research project at Brown on recent population changes.","Segregation , Metropolitan areas , Cities , Minority & ethnic groups , Census of Population , Whites , New York"
6186,1,0.9980663340355364,6186,2015,1642061241,ID Cards Will Also Work at NYC's Libraries,"  To be sure, library officials said the immigrant populations expected to benefit most from the ID card already use many of the services on offer at New York City's three library systems--the New York Public Library, the Brooklyn Public Library and the Queens Public Library.","Cities , Libraries , Identification documents , New York , Marx, Tony"
1278,1,0.99805171911205115,1278,2009,434250097,Survey Depicts Latinos As Divided,"Young Latinos have higher teenage pregnancy rates than blacks, whites or Asians, with slightly more than one in four Hispanic girls giving birth by age 19.","Teenage pregnancy , Minority & ethnic groups , Cultural identity , Young adults , Polls & surveys , Social impact , Hispanic Americans"
6190,1,0.9980443263272051,6190,2015,1642116789,Arts &amp; Entertainment: ID Cards Also Work At NYC's Libraries,"  To be sure, library officials said the immigrant populations expected to benefit most from the ID card already use many of the services on offer at New York City's three library systems -- the New York Public Library, the Brooklyn Public Library and the Queens Public Library.","Libraries , Identification documents , New York City New York"
5454,1,0.9980218153020262,5454,2014,1521872238,Fewer Latinos are Catholics; Drop in percentage who belong to the church is fueled partly by rise in evangelical Christianity.,"  Father Allan Figueroa Deck, a professor of theological studies at Loyola Marymount University, said the study highlights the fact that the Roman Catholic Church faces stiff competition in an expanding marketplace of faith.","Studies , Catholicism , Hispanic Americans , United States--US"
